,per_capita_income,median_household_income,median_family_income,population,num_of_households,name,Division Name,School Year,Division Number,Subject,Pass Rate
21,27335.0,70299.0,75333.0,14273.0,4507.0,Manassas Park City,Manassas Park City,2018-2019,144.0,Mathematics,80.0
22,29407.0,68223.0,74529.0,25691.0,9449.0,Fluvanna County,Fluvanna County,2018-2019,32.0,Mathematics,78.99
23,29306.0,67855.0,77561.0,222209.0,79574.0,Chesapeake City,Chesapeake City,2018-2019,136.0,Mathematics,94.17
24,27507.0,65132.0,75462.0,46689.0,16231.0,Culpeper County,Culpeper County,2018-2019,24.0,Mathematics,88.77
25,28441.0,65104.0,76586.0,84585.0,30868.0,Suffolk City,Suffolk City,2018-2019,127.0,Mathematics,74.46
26,26853.0,64946.0,75260.0,15935.0,5979.0,King William County,King William County,2018-2019,50.0,Mathematics,89.12
27,36685.0,64847.0,83894.0,98970.0,38157.0,Albemarle County,Albemarle County,2018-2019,2.0,Mathematics,83.39
28,29540.0,64724.0,73032.0,33148.0,13126.0,Botetourt County,Botetourt County,2018-2019,12.0,Mathematics,70.83
29,30873.0,64618.0,73795.0,437994.0,165089.0,Virginia Beach City,Virginia Beach City,2018-2019,128.0,Mathematics,89.49
30,25769.0,64171.0,71769.0,35725.0,11451.0,Prince George County,Prince George County,2018-2019,74.0,Mathematics,81.11
31,29547.0,62242.0,71732.0,35270.0,13718.0,Isle of Wight County,Isle of Wight County,2018-2019,46.0,Mathematics,79.26
32,37149.0,62117.0,75975.0,7373.0,3072.0,Rappahannock County,Rappahannock County,2018-2019,78.0,Mathematics,84.18
33,27977.0,61973.0,68771.0,78305.0,28864.0,Frederick County,Frederick County,2018-2019,34.0,Mathematics,58.99
34,29098.0,60522.0,72370.0,37575.0,14085.0,Warren County,Warren County,2018-2019,93.0,Mathematics,81.0
35,33001.0,60114.0,75140.0,306935.0,124601.0,Henrico County,Henrico County,2018-2019,43.0,Mathematics,80.0
36,31046.0,59446.0,74660.0,92376.0,37608.0,Roanoke County,Roanoke County,2018-2019,80.0,Mathematics,77.01
37,27395.0,59331.0,68461.0,36858.0,14293.0,Gloucester County,Gloucester County,2018-2019,36.0,Mathematics,63.92
38,25024.0,57690.0,65949.0,28545.0,10456.0,Caroline County,Caroline County,2018-2019,17.0,Mathematics,76.12
39,26081.0,56608.0,65164.0,13308.0,5083.0,Madison County,Madison County,2018-2019,56.0,Mathematics,84.78
40,23835.0,55030.0,67995.0,7058.0,2826.0,Surry County,Surry County,2018-2019,90.0,Mathematics,93.29
41,26447.0,54916.0,63886.0,33481.0,12895.0,Orange County,Orange County,2018-2019,68.0,Mathematics,87.97
42,24969.0,54307.0,60414.0,18403.0,6780.0,Greene County,Greene County,2018-2019,39.0,Mathematics,64.92
43,27562.0,54257.0,62703.0,33153.0,12944.0,Louisa County,Louisa County,2018-2019,54.0,Mathematics,94.74
44,27732.0,54110.0,65508.0,68676.0,27465.0,Bedford County,Bedford County,2018-2019,10.0,Mathematics,84.38
45,27501.0,52990.0,59613.0,17454.0,7310.0,Westmoreland County,Westmoreland County,2018-2019,95.0,Mathematics,74.29
46,28646.0,51944.0,60872.0,12330.0,5540.0,Northumberland County,Northumberland County,2018-2019,66.0,Mathematics,83.44
47,23423.0,51459.0,60400.0,28001.0,10504.0,Dinwiddie County,Dinwiddie County,2018-2019,27.0,Mathematics,73.25
48,23461.0,51291.0,63134.0,5190.0,2183.0,Craig County,Craig County,2018-2019,23.0,Mathematics,74.36
49,22851.0,50794.0,71190.0,14068.0,4571.0,Williamsburg City,Williamsburg City,,,,
50,23571.0,50612.0,60506.0,73750.0,28516.0,Augusta County,Augusta County,2018-2019,8.0,Mathematics,80.99
51,22083.0,50589.0,50974.0,4731.0,2162.0,Bath County,Bath County,2018-2019,9.0,Mathematics,82.76
52,26115.0,50571.0,64154.0,17411.0,7275.0,Colonial Heights City,Colonial Heights City,2018-2019,106.0,Mathematics,70.53
53,28539.0,50207.0,63750.0,10959.0,4708.0,Middlesex County,Middlesex County,2018-2019,59.0,Mathematics,75.86
